FISHID,CWT,Year,Spc,CLIPC
OMNR_LHA_IA97_001-00103-114-081-00-00004,63-56-03,1997,081,5
OMNR_LHA_IA99_002-00202-064-081-00-00013,63-56-03,1999,081,5
OMNR_LHA_IA99_002-00207-076-081-00-00003,63-56-03,1999,081,5
OMNR_LHA_IA99_002-00216-076-081-00-00017,63-56-03,1999,081,5
OMNR_LHA_IA99_002-00220-076-081-00-00015,63-56-03,1999,081,5
OMNR_LHA_IA99_002-00220-127-081-00-00004,63-56-03,1999,081,5
OMNR_LHA_IA01_002-201-089-081-00-00001,63-56-03,2001,081,5
OMNR_LHA_IA01_002-204-051-081-00-00001,63-56-03,2001,081,5
OMNR_LHA_IA01_002-209-127-081-00-00001,63-56-03,2001,081,5
OMNR_LHA_IA01_002-215-076-081-00-00002,63-56-03,2001,081,5
OMNR_LHA_IA02_002-204-102-081-00-00001,63-56-03,2002,081,5
OMNR_LHA_CF97_001-02009-1-081-00-00001,63-59-01,1997,081,5
OMNR_LHA_IM02_50F-43-1-075-00-1,63-59-01,2002,075,25
OMNR_LHA_IM02_50F-46-1-075-00-14,63-59-01,2002,075,25
OMNR_LHA_IM02_50F-47-1-075-00-31,63-59-01,2002,075,25
OMNR_LHA_IM02_50F-47-1-075-00-51,63-59-01,2002,075,25
OMNR_LHA_IM02_50F-48-1-075-00-5,63-59-01,2002,075,5
OMNR_LHA_IM02_50F-48-1-075-00-18,63-59-01,2002,075,25
OMNR_LHA_IM02_50F-50-1-075-00-15,63-59-01,2002,075,25
OMNR_LHA_IM02_50F-56-1-075-00-39,63-59-01,2002,075,25
OMNR_LHA_IM02_50F-58-1-075-00-17,63-59-01,2002,075,25
OMNR_LHA_IM02_50F-66-1-075-00-14,63-59-01,2002,075,25
OMNR_LHA_IM02_50F-68-1-075-00-30,63-59-01,2002,075,25
OMNR_LHA_IM02_50F-81-1-075-00-20,63-43-04,2002,075,15
OMNR_LHA_IM02_50F-82-1-075-00-28,63-41-04,2002,075,15